TEAM_ID,NICKNAME,LEAGUE_ID,SEASON_ID,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1610612737,Hawks,0,22019,2020-02-28,East,Atlanta,61,18,43,295,12-18,6-25
1610612750,Warriors,0,22019,2020-02-22,West,Minnesota,54,16,38,296,7-21,9-17
1610612750,Warriors,0,22019,2020-02-21,West,Minnesota,54,16,38,296,7-21,9-17
1610612750,Warriors,0,22019,2020-02-27,West,Minnesota,57,17,40,298,7-21,10-19
1610612750,Warriors,0,22019,2020-02-26,West,Minnesota,57,17,40,298,7-21,10-19
1610612752,Warriors,0,22019,2020-02-25,East,New York,57,17,40,298,8-20,9-20
1610612752,Warriors,0,22019,2020-02-24,East,New York,57,17,40,298,8-20,9-20
1610612750,Warriors,0,22019,2020-02-20,West,Minnesota,53,16,37,302,7-20,9-17
1610612750,Warriors,0,22019,2020-02-19,West,Minnesota,53,16,37,302,7-20,9-17
1610612750,Warriors,0,22019,2020-02-18,West,Minnesota,53,16,37,302,7-20,9-17
1610612750,Warriors,0,22019,2020-02-17,West,Minnesota,53,16,37,302,7-20,9-17
1610612750,Warriors,0,22019,2020-02-16,West,Minnesota,53,16,37,302,7-20,9-17
1610612750,Warriors,0,22019,2020-02-15,West,Minnesota,53,16,37,302,7-20,9-17
1610612750,Warriors,0,22019,2020-02-14,West,Minnesota,53,16,37,302,7-20,9-17
1610612750,Warriors,0,22019,2020-02-13,West,Minnesota,53,16,37,302,7-20,9-17
1610612750,Warriors,0,22019,2020-02-12,West,Minnesota,53,16,37,302,7-20,9-17
1610612739,Cavaliers,0,22019,2020-01-01,East,Cleveland,33,10,23,303,6-10,4-13
1610612764,Warriors,0,22019,2020-01-02,East,Washington,33,10,23,303,5-9,5-14
1610612764,Warriors,0,22019,2020-01-01,East,Washington,33,10,23,303,5-9,5-14
1610612752,Warriors,0,22019,2020-02-23,East,New York,56,17,39,304,8-20,9-19
1610612752,Warriors,0,22019,2020-02-22,East,New York,56,17,39,304,8-20,9-19
1610612752,Warriors,0,22019,2020-02-21,East,New York,56,17,39,304,8-20,9-19
1610612737,Hawks,0,22019,2020-03-01,East,Atlanta,62,19,43,306,13-18,6-25
1610612737,Hawks,0,22019,2020-02-29,East,Atlanta,62,19,43,306,13-18,6-25
1610612750,Warriors,0,22019,2020-02-04,West,Minnesota,49,15,34,306,6-18,9-16
1610612750,Warriors,0,22019,2020-02-03,West,Minnesota,49,15,34,306,6-18,9-16
1610612750,Warriors,0,22019,2020-02-11,West,Minnesota,52,16,36,308,7-19,9-17
1610612750,Warriors,0,22019,2020-02-10,West,Minnesota,52,16,36,308,7-19,9-17
1610612752,Warriors,0,22019,2020-02-07,East,New York,52,16,36,308,8-18,8-18
1610612752,Warriors,0,22019,2020-02-06,East,New York,52,16,36,308,8-18,8-18
1610612766,Warriors,0,22019,2020-02-09,East,Charlotte,52,16,36,308,8-17,8-19
1610612766,Warriors,0,22019,2020-02-08,East,Charlotte,52,16,36,308,8-17,8-19
1610612739,Cavaliers,0,22019,2020-01-12,East,Cleveland,39,12,27,308,6-14,6-13
1610612739,Cavaliers,0,22019,2020-01-11,East,Cleveland,39,12,27,308,6-14,6-13
1610612752,Warriors,0,22019,2020-02-20,East,New York,55,17,38,309,8-19,9-19
1610612752,Warriors,0,22019,2020-02-19,East,New York,55,17,38,309,8-19,9-19
1610612752,Warriors,0,22019,2020-02-18,East,New York,55,17,38,309,8-19,9-19
1610612752,Warriors,0,22019,2020-02-17,East,New York,55,17,38,309,8-19,9-19
1610612752,Warriors,0,22019,2020-02-16,East,New York,55,17,38,309,8-19,9-19
1610612752,Warriors,0,22019,2020-02-15,East,New York,55,17,38,309,8-19,9-19
1610612752,Warriors,0,22019,2020-02-14,East,New York,55,17,38,309,8-19,9-19
1610612752,Warriors,0,22019,2020-02-13,East,New York,55,17,38,309,8-19,9-19
